Unnamed: 0,#,ประเภท,รายการ,สร้างโดย,ชื่อลูกค้า,รหัสลูกค้า,อีเมลลูกค้า,เบอร์โทรศัพท์ลูกค้า,ที่อยู่ลูกค้า,เลขผู้เสียภาษี,อ้างอิง,ช่องทางการขาย,วันที่ทำรายการ,ส่วนลด,รายได้จาก Platform,ค่าส่ง (ที่เรียกเก็บจากลูกค้า),มูลค่ารวมก่อนภาษี,ภาษีมูลค่าเพิ่ม,วันส่งสินค้า,Tracking No,ช่องทางจัดส่ง,ชื่อผู้รับ,เบอร์โทรศัพท์ผู้รับ,อีเมลผู้รับ,ที่อยู่/จัดส่ง,รหัสไปรษณีย์,จังหวัด,อำเภอ/เขต,ตำบล/แขวง,มูลค่า,หมายเหตุ,Tag,สถานะรายการ,คลัง/สาขา,สถานะการชำระเงิน,ใบกำกับภาษี,ช่องทางการชำระเงิน,จำนวนเงินที่ชำระ,วันที่ชำระเงิน,Payment ID,รหัสสินค้า,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,ส่วนลดต่อหน่วย,ราคารวม,ล็อต,หมวดหมู่
Lazada,1,ขายออก,DD141090,Admin,Sirithorn Nakornpol,7420,sirithorn.nakornpol@example.com,088204212,"161 หมู่ 12, Songkhla",,,Lazada,27/02/2025,,-60.0,60,2250.0,0.0,,,J&T Express,Sirithorn Nakornpol,088204212,,"314 หมู่ 12, Songkhla",26023,Songkhla,,,2250.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,Prompt Pay,,,,DD015,Skin & Coat Supplement,3,750,0.0,2250.0,,Supplements
Distributor,2,ขายออก,DD419030,Admin,Wichuda Nakornthap,6393,wichuda.nakornthap@example.com,084275709,"388 หมู่ 14, Pathum Thani",,,Distributor,13/02/2025,,,100,7500.0,0.0,,TH79537252,Thailand Post,Wichuda Nakornthap,084275709,,"242 หมู่ 9, Pathum Thani",77435,Pathum Thani,,,7500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,7600.0,15/02/2025,,DD017,Puppy Starter Kit,3,2500,0.0,7500.0,,Bundles
In-store,3,ขายออก,DD824839,Admin,Somkiat Pongpanich,7873,somkiat.pongpanich@example.com,087397986,"556 หมู่ 2, Surat Thani",,,In-store,14/02/2025,,,80,6000.0,0.0,,TH97796277,Kerry Express,Somkiat Pongpanich,087397986,,"202 หมู่ 4, Surat Thani",77121,Surat Thani,,,6000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,6080.0,16/02/2025,,DD002,Premium Adult Kibble (All Breeds),4,1500,0.0,6000.0,,Dry Food
Distributor,4,ขายออก,DD374329,Admin,Sirithorn Nakornthap,9006,sirithorn.nakornthap@example.com,068807313,"521 หมู่ 1, Khon Kaen",,,Distributor,30/11/2024,,,100,2400.0,0.0,,TH78394024,Flash Express,Sirithorn Nakornthap,068807313,,"648 หมู่ 11, Khon Kaen",96807,Khon Kaen,,,2400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,2500.0,30/11/2024,,DD016,Multivitamin Chews,4,600,0.0,2400.0,,Supplements
Website,5,ขายออก,DD921654,Admin,Somrak Thongsuk,9110,somrak.thongsuk@example.com,081996107,"462 หมู่ 3, Chiang Mai",,,Website,05/02/2025,,,70,360.0,0.0,,TH63933927,Kerry Express,Somrak Thongsuk,081996107,,"769 หมู่ 5, Chiang Mai",99135,Chiang Mai,,,360.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,430.0,05/02/2025,,DD008,Chicken & Rice Wet Food,3,120,0.0,360.0,,Wet Food
Shopee,6,ขายออก,DD872838,Admin,Nattanicha Jairam,4242,nattanicha.jairam@example.com,078887739,"541 หมู่ 4, Bangkok",,,Shopee,07/04/2025,,-100.0,100,360.0,0.0,,TH44428803,Kerry Express,Nattanicha Jairam,078887739,,"525 หมู่ 7, Bangkok",60015,Bangkok,,,360.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,460.0,09/04/2025,,DD007,Beef & Vegetable Wet Food,3,120,0.0,360.0,,Wet Food
Lazada,7,ขายออก,DD388249,Admin,Somjai Thongsuk,7776,somjai.thongsuk@example.com,099306461,"628 หมู่ 13, Surat Thani",,,Lazada,10/02/2025,5.0,-50.0,50,2850.0,0.0,,TH12484413,Flash Express,Somjai Thongsuk,099306461,,"745 หมู่ 3, Surat Thani",28047,Surat Thani,,,2850.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,2900.0,12/02/2025,,DD002,Premium Adult Kibble (All Breeds),2,1500,75.0,2850.0,,Dry Food
Shopee,8,ขายออก,DD218451,Admin,Ratchada Jairai,8554,ratchada.jairai@example.com,082384250,"113 หมู่ 5, Chiang Mai",,,Shopee,27/02/2025,,-80.0,80,5100.0,0.0,,,J&T Express,Ratchada Jairai,082384250,,"625 หมู่ 17, Chiang Mai",78840,Chiang Mai,,,5100.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,Bank Transfer,,,,DD006,Sensitive Stomach Formula,3,1700,0.0,5100.0,,Dry Food
Shopee,9,ขายออก,DD937291,Admin,Wichai Thongpat,9958,wichai.thongpat@example.com,067609280,"294 หมู่ 5, Bangkok",,,Shopee,09/03/2025,,-70.0,70,3000.0,0.0,,TH78227907,Thailand Post,Wichai Thongpat,067609280,,"884 หมู่ 2, Bangkok",97092,Bangkok,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,3070.0,09/03/2025,,DD002,Premium Adult Kibble (All Breeds),2,1500,0.0,3000.0,,Dry Food
In-store,10,ขายออก,DD659042,Admin,Somjai Nakornthap,3385,somjai.nakornthap@example.com,065506259,"872 หมู่ 1, Chiang Mai",,,In-store,04/04/2025,,,50,600.0,0.0,,TH20421958,J&T Express,Somjai Nakornthap,065506259,,"779 หมู่ 18, Chiang Mai",82082,Chiang Mai,,,600.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,650.0,06/04/2025,,DD016,Multivitamin Chews,1,600,0.0,600.0,,Supplements
Lazada,11,ขายออก,DD786976,Admin,Siriwan Jairam,4170,siriwan.jairam@example.com,093204664,"659 หมู่ 16, Chonburi",,,Lazada,16/04/2025,,-50.0,50,750.0,0.0,,TH42797855,Thailand Post,Siriwan Jairam,093204664,,"208 หมู่ 3, Chonburi",12049,Chonburi,,,750.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Credit Card,,,,DD010,Dental Chew Sticks (Small),3,250,0.0,750.0,,Treats
Distributor,12,ขายออก,DD837378,Admin,Somkid Jaidee,9352,somkid.jaidee@example.com,076946594,"580 หมู่ 1, Phuket",,,Distributor,13/04/2025,,,70,4800.0,0.0,,TH85092305,Kerry Express,Somkid Jaidee,076946594,,"398 หมู่ 16, Phuket",48360,Phuket,,,4800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,4870.0,13/04/2025,,DD001,Premium Puppy Kibble (Small Breed),4,1200,0.0,4800.0,,Dry Food
Website,13,ขายออก,DD500109,Admin,Ratchada Pongthep,1225,ratchada.pongthep@example.com,083269042,"277 หมู่ 1, Songkhla",,,Website,13/04/2025,,,70,360.0,0.0,,,Thailand Post,Ratchada Pongthep,083269042,,"284 หมู่ 15, Songkhla",27429,Songkhla,,,360.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,COD,,,,DD008,Chicken & Rice Wet Food,3,120,0.0,360.0,,Wet Food
Website,14,ขายออก,DD278274,Admin,Siriporn Thongsuk,1606,siriporn.thongsuk@example.com,074451356,"99 หมู่ 1, Chiang Mai",,,Website,16/01/2025,,,50,1800.0,0.0,,,Flash Express,Siriporn Thongsuk,074451356,,"116 หมู่ 1, Chiang Mai",53525,Chiang Mai,,,1800.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,TrueMoney Wallet,,,,DD016,Multivitamin Chews,3,600,0.0,1800.0,,Supplements
Lazada,15,ขายออก,DD922209,Admin,Somying Jairai,8343,somying.jairai@example.com,078413023,"39 หมู่ 10, Nonthaburi",,,Lazada,22/01/2025,,-50.0,50,2800.0,0.0,,TH53167705,Flash Express,Somying Jairai,078413023,,"759 หมู่ 3, Nonthaburi",28070,Nonthaburi,,,2800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,2850.0,24/01/2025,,DD018,Senior Care Package,1,2800,0.0,2800.0,,Bundles
In-store,16,ขายออก,DD584299,Admin,Ratchaphon Jaidee,1574,ratchaphon.jaidee@example.com,063699015,"190 หมู่ 17, Nonthaburi",,,In-store,05/01/2025,,,70,800.0,0.0,,TH80286689,Kerry Express,Ratchaphon Jaidee,063699015,,"692 หมู่ 10, Nonthaburi",80031,Nonthaburi,,,800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,870.0,06/01/2025,,DD013,Peanut Butter Biscuits,4,200,0.0,800.0,,Treats
In-store,17,ขายออก,DD711523,Admin,Ratchada Pongpanich,5465,ratchada.pongpanich@example.com,069640059,"636 หมู่ 10, Bangkok",,,In-store,25/01/2025,,,70,2250.0,0.0,,TH31921117,Thailand Post,Ratchada Pongpanich,069640059,,"670 หมู่ 19, Bangkok",97142,Bangkok,,,2250.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,2320.0,25/01/2025,,DD015,Skin & Coat Supplement,3,750,0.0,2250.0,,Supplements
Lazada,18,ขายออก,DD763165,Admin,Wichai Pongsakorn,8004,wichai.pongsakorn@example.com,097095929,"247 หมู่ 3, Surat Thani",,,Lazada,10/04/2025,15.0,-100.0,100,2380.0,0.0,,TH66996736,J&T Express,Wichai Pongsakorn,097095929,,"76 หมู่ 16, Surat Thani",56175,Surat Thani,,,2380.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,2480.0,11/04/2025,,DD005,Weight Management Formula,2,1400,210.0,2380.0,,Dry Food
Lazada,19,ขายออก,DD291475,Admin,Wichuda Sae-lim,8421,wichuda.sae-lim@example.com,088156720,"734 หมู่ 5, Chiang Mai",,,Lazada,14/05/2025,,-100.0,100,1400.0,0.0,,TH67399769,J&T Express,Wichuda Sae-lim,088156720,,"23 หมู่ 10, Chiang Mai",88781,Chiang Mai,,,1400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,1500.0,14/05/2025,,DD005,Weight Management Formula,1,1400,0.0,1400.0,,Dry Food
Lazada,20,ขายออก,DD640652,Admin,Nattaporn Nakornpol,1851,nattaporn.nakornpol@example.com,075466271,"664 หมู่ 12, Udon Thani",,,Lazada,24/01/2025,,-50.0,50,3600.0,0.0,,TH84815222,Kerry Express,Nattaporn Nakornpol,075466271,,"690 หมู่ 3, Udon Thani",19540,Udon Thani,,,3600.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,3650.0,26/01/2025,,DD004,Grain-Free Salmon & Sweet Potato,2,1800,0.0,3600.0,,Dry Food
Lazada,21,ขายออก,DD251836,Admin,Nattacha Saengchan,9967,nattacha.saengchan@example.com,062086880,"605 หมู่ 10, Songkhla",,,Lazada,20/03/2025,5.0,-70.0,70,1140.0,0.0,,TH88262145,Flash Express,Nattacha Saengchan,062086880,,"602 หมู่ 2, Songkhla",92986,Songkhla,,,1140.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,1210.0,22/03/2025,,DD001,Premium Puppy Kibble (Small Breed),1,1200,60.0,1140.0,,Dry Food
Shopee,22,ขายออก,DD323992,Admin,Nattawut Thongsri,5079,nattawut.thongsri@example.com,093989475,"548 หมู่ 18, Phuket",,,Shopee,11/03/2025,,-70.0,70,520.0,0.0,,TH35856919,J&T Express,Nattawut Thongsri,093989475,,"96 หมู่ 5, Phuket",99084,Phuket,,,520.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,590.0,13/03/2025,,DD009,Lamb & Pea Wet Food,4,130,0.0,520.0,,Wet Food
In-store,23,ขายออก,DD219180,Admin,Ratchapol Thongpai,3502,ratchapol.thongpai@example.com,066781565,"796 หมู่ 14, Chonburi",,,In-store,28/11/2024,,,50,12500.0,0.0,,TH56547339,Flash Express,Ratchapol Thongpai,066781565,,"735 หมู่ 19, Chonburi",10728,Chonburi,,,12500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,12550.0,28/11/2024,,DD017,Puppy Starter Kit,5,2500,0.0,12500.0,,Bundles
In-store,24,ขายออก,DD297775,Admin,Nattacha Jairak,6334,nattacha.jairak@example.com,093763642,"733 หมู่ 11, Bangkok",,,In-store,07/03/2025,,,60,3000.0,0.0,,TH33614649,Thailand Post,Nattacha Jairak,093763642,,"843 หมู่ 18, Bangkok",70566,Bangkok,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,3060.0,09/03/2025,,DD016,Multivitamin Chews,5,600,0.0,3000.0,,Supplements
